tau,R_X_empirica,R_X_teorica
-1.4844948316105369,-1.7673366888645201,-1.7673792815905072
-1.482494164721574,-1.7050418786854895,-1.7050887304723883
-1.480493497832611,-1.6360135640774682,-1.6360644862121727
-1.478492830943648,-1.560524349733014,-1.5605791376035891
-1.4764921640546849,-1.4788723555524124,-1.4789307894696535
-1.474491497165722,-1.3913800393169025,-1.391441885394727
-1.472490830276759,-1.2983929232474096,-1.2984579343384712
-1.470490163387796,-1.2002782294778258,-1.200346146160611
-1.468489496498833,-1.0974234298315835,-1.0974939814450944
-1.46648882960987,-0.9902347156287106,-0.9903076213506107
-1.464488162720907,-0.8791353935663585,-0.8792103635302481
-1.462487495831944,-0.7645642140077485,-0.7646409504551036
-1.460486828942981,-0.6469736382814092,-0.6470518367437399
-1.4584861620540182,-0.526828051833443,-0.5269074023397984
-1.456485495165055,-0.40460193028938496,-0.40468211859453523
-1.454484828276092,-0.28077796566819974,-0.2808586744966996
-1.452484161387129,-0.15584516014831146,-0.15592607044926385
-1.4504834944981662,-0.030296894913720725,-0.030377687121537867
-1.4484828276092032,0.09537101829333712,0.09529066299721956
-1.44648216072024,0.22066229521843456,0.22058269364799973
-1.444481493831277,0.3450821390070361,0.3450036047230439
-1.4424808269423142,0.46813919424259254,0.4680620363179148
-1.4404801600533512,0.5893474873938112,0.5892720091975887
-1.4384794931643883,0.708228346007943,0.7081548440132883
-1.4364788262754251,0.8243122890708595,0.8242410516907925
-1.4344781593864622,0.9371408810685622,0.9370721875248023
-1.4324774924974992,1.0462685424281155,1.046202661657172
-1.4304768256085363,1.1512643091882602,1.151201498788982
-1.4284761587195733,1.2517135349504631,1.2516540401773386
-1.4264754918306102,1.3472195283891069,1.3471635811951286
-1.4244748249416472,1.4374051198540065,1.4373529379867938
-1.4224741580526843,1.5219141508784697,1.521865937033369
-1.4204734911637213,1.6004128807105802,1.600368821743826
-1.4184728242747584,1.672591304313062,1.6725515705181209
-1.4164721573857952,1.7381643766267216,1.7381291210766872
-1.4144714904968323,1.796873138262637,1.7968424962210985
-1.4124708236078694,1.8484857381775421,1.8484598265802763
-1.4104701567189064,1.8927983492936848,1.8927772663031346
-1.4084694898299435,1.9296359734472106,1.9296197980814256
-1.4064688229409803,1.958853132486207,1.9588419243236468
-1.4044681560520174,1.9803344427891234,1.9803282417504489
-1.4024674891630544,1.993995070934711,1.9939938971423419
-1.4004668222740915,1.9997810687239477,1.9997849224398598
-1.3984661553851285,1.997669586230901,1.9976784478728669
-1.3964654884961654,1.987668962041148,1.9876827922772609
-1.3944648216072024,1.9698186903213792,1.9698374302424513
-1.3924641547182395,1.9441892648502457,1.9442128362192994
-1.3904634878292765,1.9108819006263895,1.910910206204208
